Label,United States!!Total!!Estimate,United States!!Total!!Margin of Error,United States!!With a computer !!Broadband Internet Subscription!!Estimate,United States!!With a computer !!Broadband Internet Subscription!!Margin of Error,United States!!With a computer !!Percent  Broadband Internet Subscription!!Estimate,United States!!With a computer !!Percent  Broadband Internet Subscription!!Margin of Error,United States!!With a computer !!Without an Internet Subscription!!Estimate,United States!!With a computer !!Without an Internet Subscription!!Margin of Error,United States!!With a computer !!Percent without an Internet Subscription!!Estimate,United States!!With a computer !!Percent without an Internet Subscription!!Margin of Error,United States!!No computer in household!!Estimate,United States!!No computer in household!!Margin of Error,United States!!Percent no computer in household!!Estimate,United States!!Percent no computer in household!!Margin of Error
Total population in households,"317,631,941",*****,"276,476,777","±316,652",87.0%,±0.1,"21,914,826","±223,836",6.9%,±0.1,"18,532,067","±149,048",5.8%,±0.1
AGE,,,,,,,,,,,,,,
Under 18 years,"73,438,874","±36,344","66,327,664","±94,318",90.3%,±0.1,"5,013,242","±83,013",6.8%,±0.1,"2,036,753","±46,590",2.8%,±0.1
18 to 64 years,"194,919,314","±30,611","173,686,391","±207,550",89.1%,±0.1,"13,128,310","±138,774",6.7%,±0.1,"7,818,812","±86,954",4.0%,±0.1
65 years and over,"49,273,753","±25,434","36,462,722","±70,772",74.0%,±0.1,"3,773,274","±40,989",7.7%,±0.1,"8,676,502","±54,907",17.6%,±0.1
RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,,,,,
    White alone,"230,231,806","±121,777","202,410,803","±263,923",87.9%,±0.1,"14,278,496","±169,769",6.2%,±0.1,"12,931,905","±116,608",5.6%,±0.1
    Black or African American alone,"39,593,255","±72,038","31,739,447","±87,568",80.2%,±0.2,"4,265,560","±66,807",10.8%,±0.2,"3,542,849","±50,786",8.9%,±0.1
    American Indian and Alaska Native alone,"2,637,233","±33,911","1,948,637","±32,216",73.9%,±0.6,"350,559","±14,061",13.3%,±0.5,"330,202","±12,620",12.5%,±0.5
    Asian alone,"17,867,046","±37,947","16,690,494","±44,551",93.4%,±0.2,"702,023","±25,675",3.9%,±0.1,"452,375","±18,033",2.5%,±0.1
    Native Hawaiian and Other Pacific Islander alone,"588,840","±15,260","483,712","±12,864",82.1%,±1.8,"59,808","±9,711",10.2%,±1.6,"43,215","±6,775",7.3%,±1.1
    Some other race alone,"16,283,368","±124,463","13,644,280","±118,779",83.8%,±0.3,"1,714,148","±46,372",10.5%,±0.3,"915,044","±32,018",5.6%,±0.2
    Two or more races,"10,430,393","±91,952","9,559,404","±91,092",91.6%,±0.2,"544,232","±16,516",5.2%,±0.2,"316,477","±11,998",3.0%,±0.1
    Hispanic or Latino origin (of any race),"57,757,735","±15,253","48,573,301","±116,514",84.1%,±0.2,"5,781,694","±94,617",10.0%,±0.2,"3,344,857","±66,352",5.8%,±0.1
"    White alone, not Hispanic or Latino","192,699,127","±28,556","170,989,682","±197,662",88.7%,±0.1,"10,482,626","±135,268",5.4%,±0.1,"10,659,269","±95,007",5.5%,±0.1
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,
Household population 25 years and over,"216,715,449","±76,399","185,425,767","±252,782",85.6%,±0.1,"14,849,683","±130,177",6.9%,±0.1,"15,818,786","±110,386",7.3%,±0.1
        Less than high school graduate or equivalency,"25,332,428","±114,429","17,146,824","±100,039",67.7%,±0.3,"3,162,697","±44,921",12.5%,±0.2,"4,951,834","±55,363",19.5%,±0.2
"        High school graduate (includes equivalency), some college or associate's degree","121,085,109","±141,497","101,823,184","±148,604",84.1%,±0.1,"9,345,171","±95,223",7.7%,±0.1,"9,499,711","±73,222",7.8%,±0.1
        Bachelor's degree or higher,"70,297,912","±220,716","66,455,759","±228,870",94.5%,±0.1,"2,341,815","±35,224",3.3%,±0.1,"1,367,241","±21,863",1.9%,±0.1
EMPLOYMENT STATUS,,,,,,,,,,,,,,
Civilian population 16 years and over,"251,875,530","±48,166","217,168,324","±262,183",86.2%,±0.1,"17,373,445","±162,626",6.9%,±0.1,"16,679,084","±120,627",6.6%,±0.1
        In labor force,"162,264,809","±134,399","147,099,325","±222,415",90.7%,±0.1,"9,873,125","±102,333",6.1%,±0.1,"5,045,309","±60,939",3.1%,±0.1
            Employed,"153,826,786","±138,747","139,860,944","±222,447",90.9%,±0.1,"9,123,884","±95,669",5.9%,±0.1,"4,608,999","±57,078",3.0%,±0.1
            Unemployed,"8,438,023","±52,254","7,238,381","±48,088",85.8%,±0.3,"749,241","±18,232",8.9%,±0.2,"436,310","±12,743",5.2%,±0.1
        Not in labor force,"89,610,721","±127,485","70,068,999","±140,628",78.2%,±0.1,"7,500,320","±76,781",8.4%,±0.1,"11,633,775","±82,985",13.0%,±0.1
