Label,United States!!Total!!Estimate,United States!!Total!!Margin of Error,United States!!With a computer!!Broadband Internet Subscription!!Estimate,United States!!With a computer!!Broadband Internet Subscription!!Margin of Error,United States!!With a computer!!Percent  Broadband Internet Subscription!!Estimate,United States!!With a computer!!Percent  Broadband Internet Subscription!!Margin of Error,United States!!With a computer!!Without an Internet Subscription!!Estimate,United States!!With a computer!!Without an Internet Subscription!!Margin of Error,United States!!With a computer!!Percent without an Internet Subscription!!Estimate,United States!!With a computer!!Percent without an Internet Subscription!!Margin of Error,United States!!No computer in household!!Estimate,United States!!No computer in household!!Margin of Error,United States!!Percent no computer in household!!Estimate,United States!!Percent no computer in household!!Margin of Error
Total population in households,"319,075,830",*****,"281,778,807","±275,220",88.3%,±0.1,"20,256,860","±202,185",6.3%,±0.1,"16,449,095","±133,553",5.2%,±0.1
    AGE,,,,,,,,,,,,,,
Under 18 years,"73,138,247","±35,019","66,936,178","±67,466",91.5%,±0.1,"4,360,128","±70,941",6.0%,±0.1,"1,789,890","±42,526",2.4%,±0.1
18 to 64 years,"195,032,871","±29,003","176,089,519","±184,675",90.3%,±0.1,"12,025,859","±126,198",6.2%,±0.1,"6,691,320","±75,143",3.4%,±0.1
65 years and over,"50,904,712","±24,407","38,753,110","±74,892",76.1%,±0.1,"3,870,873","±41,700",7.6%,±0.1,"7,967,885","±51,982",15.7%,±0.1
    RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,,,,,
        White alone,"230,929,899","±122,863","205,633,169","±242,748",89.0%,±0.1,"13,305,180","±160,289",5.8%,±0.1,"11,493,479","±110,580",5.0%,±0.1
        Black or African American alone,"39,827,249","±71,926","32,718,325","±81,387",82.2%,±0.2,"3,877,889","±63,632",9.7%,±0.2,"3,186,865","±40,014",8.0%,±0.1
        American Indian and Alaska Native alone,"2,704,881","±34,300","2,056,238","±32,360",76.0%,±0.6,"323,165","±14,393",11.9%,±0.5,"319,728","±12,143",11.8%,±0.4
        Asian alone,"18,042,818","±43,213","17,018,504","±45,706",94.3%,±0.2,"640,873","±23,378",3.6%,±0.1,"363,973","±16,561",2.0%,±0.1
        Native Hawaiian and Other Pacific Islander alone,"606,566","±15,051","509,825","±15,584",84.1%,±1.5,"56,523","±7,872",9.3%,±1.3,"38,834","±5,354",6.4%,±0.9
        Some other race alone,"15,977,046","±133,449","13,664,203","±124,551",85.5%,±0.3,"1,539,623","±40,762",9.6%,±0.2,"760,682","±24,860",4.8%,±0.2
        Two or more races,"10,987,371","±104,259","10,178,543","±100,081",92.6%,±0.2,"513,607","±20,909",4.7%,±0.2,"285,534","±13,474",2.6%,±0.1
        Hispanic or Latino origin (of any race),"58,676,400","±15,909","50,208,452","±108,671",85.6%,±0.2,"5,446,410","±83,933",9.3%,±0.1,"2,979,528","±56,595",5.1%,±0.1
"        White alone, not Hispanic or Latino","192,474,155","±30,620","172,904,569","±180,203",89.8%,±0.1,"9,670,551","±121,666",5.0%,±0.1,"9,428,578","±83,751",4.9%,±0.1
    EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,
Household population 25 years and over,"218,630,996","±78,409","190,003,257","±252,156",86.9%,±0.1,"14,032,918","±129,355",6.4%,±0.1,"14,077,079","±102,364",6.4%,±0.1
            Less than high school graduate or equivalency,"24,841,996","±122,558","17,414,570","±83,921",70.1%,±0.2,"3,022,987","±48,963",12.2%,±0.2,"4,348,344","±51,649",17.5%,±0.2
"            High school graduate (includes equivalency), some college or associate's degree","121,498,710","±141,245","103,910,274","±167,221",85.5%,±0.1,"8,770,787","±92,448",7.2%,±0.1,"8,463,337","±61,554",7.0%,±0.1
            Bachelor's degree or higher,"72,290,290","±231,636","68,678,413","±241,780",95.0%,±0.1,"2,239,144","±35,134",3.1%,±0.1,"1,265,398","±19,854",1.8%,±0.1
    EMPLOYMENT STATUS,,,,,,,,,,,,,,
Civilian population 16 years and over,"253,511,051","±41,322","221,851,917","±244,436",87.5%,±0.1,"16,291,771","±153,424",6.4%,±0.1,"14,821,495","±111,204",5.8%,±0.1
            In labor force,"163,446,026","±139,886","149,775,990","±219,646",91.6%,±0.1,"9,121,845","±92,480",5.6%,±0.1,"4,349,050","±55,926",2.7%,±0.1
                Employed,"155,546,303","±141,897","142,855,427","±216,607",91.8%,±0.1,"8,521,693","±88,201",5.5%,±0.1,"3,980,418","±54,374",2.6%,±0.1
                Unemployed,"7,899,723","±45,239","6,920,563","±43,366",87.6%,±0.3,"600,152","±16,694",7.6%,±0.2,"368,632","±14,711",4.7%,±0.2
            Not in labor force,"90,065,025","±122,132","72,075,927","±119,827",80.0%,±0.1,"7,169,926","±75,591",8.0%,±0.1,"10,472,445","±79,639",11.6%,±0.1
