Label,United States!!Total!!Estimate,United States!!Total!!Margin of Error,United States!!Percent!!Estimate,United States!!Percent!!Margin of Error
Total households,"122,802,852","±137,327",(X),(X)
    TYPES OF COMPUTER,,,,
        Has one or more types of computing devices:,"114,062,649","±164,539",92.9%,±0.1
            Desktop or laptop,"94,952,292","±245,645",77.3%,±0.1
                Desktop or laptop with no other type of computing device,"4,522,486","±32,630",3.7%,±0.1
            Smartphone,"106,336,466","±147,044",86.6%,±0.1
                Smartphone with no other type of computing device,"12,072,269","±96,094",9.8%,±0.1
            Tablet or other portable wireless computer,"75,463,940","±256,701",61.5%,±0.2
                Tablet or other portable wireless computer with no other type of computing device,"1,074,866","±16,291",0.9%,±0.1
            Other computer,"2,937,915","±27,533",2.4%,±0.1
                Other computer with no other type of computing device,"25,911","±2,308",0.0%,±0.1
        No computer,"8,740,203","±55,179",7.1%,±0.1
    TYPE OF INTERNET SUBSCRIPTIONS,,,,
        With an Internet subscription:,"106,364,661","±221,795",86.6%,±0.1
            Dial-up with no other type of Internet subscription,"265,331","±7,387",0.2%,±0.1
            Broadband of any type,"106,099,330","±220,420",86.4%,±0.1
                Cellular data plan,"95,774,824","±252,212",78.0%,±0.1
                    Cellular data plan with no other type of Internet subscription,"14,539,689","±68,448",11.8%,±0.1
"                Broadband such as cable, fiber optic or DSL","86,904,191","±204,585",70.8%,±0.1
                Satellite Internet service,"8,021,594","±64,513",6.5%,±0.1
        Without an Internet subscription,"16,438,191","±110,201",13.4%,±0.1
HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),,,,
"Less than $20,000:","16,898,169","±63,060",(X),(X)
            With dial-up Internet subscription alone,"50,057","±3,226",0.3%,±0.1
            With a broadband Internet subscription,"10,840,598","±55,426",64.2%,±0.2
            Without an Internet subscription,"6,007,514","±48,221",35.6%,±0.2
"$20,000 to $74,999:","51,624,276","±102,802",(X),(X)
            With dial-up Internet subscription alone,"154,033","±5,386",0.3%,±0.1
            With a broadband Internet subscription,"43,392,447","±118,754",84.1%,±0.1
            Without an Internet subscription,"8,077,796","±66,242",15.6%,±0.1
"$75,000 or more:","54,280,407","±138,481",(X),(X)
            With dial-up Internet subscription alone,"61,241","±3,741",0.1%,±0.1
            With a broadband Internet subscription,"51,866,285","±151,271",95.6%,±0.1
            Without an Internet subscription,"2,352,881","±31,854",4.3%,±0.1
